Date,Open,High,Low,Close,Adj Close,Volume
4/20/2020,3.18,3.35,3.05,3.19,3.19,18691700
4/21/2020,3.1,3.22,3.01,3.02,3.02,19789700
4/22/2020,3.09,3.15,3.05,3.09,3.09,14539900
4/23/2020,3.2,3.2,3.05,3.06,3.06,17434200
4/24/2020,3.08,3.1,2.91,2.94,2.94,22126200
4/27/2020,3,3.26,2.95,3.24,3.24,35641100
4/28/2020,3.4,3.45,3.2,3.34,3.34,36326800
4/29/2020,3.83,3.98,3.59,3.61,3.61,89238800
4/30/2020,3.63,3.72,3.37,3.41,3.41,44540400
5/1/2020,3.3,3.33,3.12,3.18,3.18,31268900
5/4/2020,3.08,3.36,3.08,3.34,3.34,23387500
5/5/2020,3.44,3.48,3.28,3.28,3.28,22315800
5/6/2020,3.59,3.65,3.45,3.62,3.62,54347800
5/7/2020,3.63,3.67,3.52,3.63,3.63,26736700
5/8/2020,3.68,3.8,3.6,3.77,3.77,27861700
5/11/2020,3.72,3.77,3.66,3.74,3.74,16585600
5/12/2020,3.74,3.78,3.61,3.62,3.62,21943800
5/13/2020,3.64,3.68,3.32,3.44,3.44,34034700
5/14/2020,3.33,3.52,3.27,3.45,3.45,20936400
5/15/2020,3.37,3.45,3.36,3.37,3.37,13699000
5/18/2020,3.5,3.69,3.5,3.61,3.61,27830200
5/19/2020,3.62,3.75,3.59,3.69,3.69,21707400
5/20/2020,3.76,3.82,3.4,3.48,3.48,52056900
5/21/2020,3.4,3.44,3.23,3.33,3.33,41628400
5/22/2020,3.33,3.34,3.18,3.27,3.27,22796000
5/26/2020,3.42,3.83,3.4,3.82,3.82,59847900
5/27/2020,4.01,4.2,3.9,4.17,4.17,70718900
5/28/2020,3.98,4.12,3.75,3.83,3.83,62756900
5/29/2020,3.82,4,3.73,3.98,3.98,50395400
6/1/2020,4,4.33,3.96,4.26,4.26,69222000
6/2/2020,4.36,4.73,4.35,4.7,4.7,82476600
6/3/2020,5,5.7,4.98,5.6,5.6,199210000
6/4/2020,6.01,6.2,5.61,5.97,5.97,173052600
6/5/2020,6.03,6.08,5.52,5.59,5.59,90811800
6/8/2020,5.81,6.08,5.68,5.97,5.97,85951600
6/9/2020,5.84,6.83,5.76,6.68,6.68,136907900
6/10/2020,6.72,6.95,6.16,6.3,6.3,100170700
6/11/2020,5.79,6.09,5.66,5.91,5.91,126509700
6/12/2020,6.2,6.32,5.92,6.1,6.1,59687700
6/15/2020,5.97,6.99,5.92,6.83,6.83,113694400
6/16/2020,7.43,7.44,6.53,6.99,6.99,130478600
6/17/2020,6.93,6.98,6.58,6.84,6.84,58835800
6/18/2020,6.8,7.36,6.78,7.18,7.18,78846400
6/19/2020,7.36,7.63,7.23,7.34,7.34,84604200
6/22/2020,7.86,7.9,7.38,7.43,7.43,112976000
6/23/2020,7.55,7.69,7.19,7.23,7.23,79863500
6/24/2020,6.93,7.08,6.5,6.86,6.86,103888600
6/25/2020,6.66,7.15,6.6,7.08,7.08,46660300
6/26/2020,7.03,7.18,6.8,6.9,6.9,33596800
6/29/2020,6.98,7.25,6.71,7.23,7.23,46070400
6/30/2020,7.21,7.75,7.12,7.72,7.72,84485500
7/1/2020,7.79,7.99,7.67,7.91,7.91,64842600
7/2/2020,9.05,9.4,8.7,9.38,9.38,221496700
7/6/2020,11.05,12.3,10.93,11.51,11.51,329223800
7/7/2020,11.26,13.77,10.7,13.22,13.22,444070500
7/8/2020,14.1,15.28,12,12.88,12.88,570911400
7/9/2020,13.5,14.63,13.07,14.57,14.57,316792000
7/10/2020,15.61,15.73,14.2,14.98,14.98,318851300
7/13/2020,15.26,16.440001,13.61,13.84,13.84,313460300
7/14/2020,13.25,14.13,12.42,14.09,14.09,196123200
7/15/2020,13.82,13.95,12.85,13.52,13.52,114603700
7/16/2020,12.46,13.16,12.45,12.94,12.94,134606300
7/17/2020,11.86,12.07,10.46,11.09,11.09,289518000
7/20/2020,11.42,12.84,11.38,12.82,12.82,155428100
7/21/2020,13.45,13.58,12.62,12.88,12.88,128389100
7/22/2020,12.38,12.83,11.81,12.38,12.38,112260500
7/23/2020,12.59,12.63,11.85,12.15,12.15,95206300
7/24/2020,11.38,11.9,10.91,11.82,11.82,93425300
7/27/2020,12.03,12.09,11.27,11.69,11.69,64068500
7/28/2020,11.48,12.64,11.38,12.27,12.27,90075800
7/29/2020,12.65,13,12.43,12.7,12.7,69552600
7/30/2020,12.62,12.95,12.07,12.2,12.2,64952900
7/31/2020,12.41,12.59,11.73,11.94,11.94,61813800
8/3/2020,12.53,13.67,12.46,13.6,13.6,122925300
8/4/2020,14.46,14.53,13.22,13.64,13.64,125731400
8/5/2020,13.41,14.08,13.37,13.92,13.92,60375000
